Gene_id	Z_score
Tb09.160.3240	-4.37
Tb927.1.2100	-4.36
Tb927.5.2600	-4.36
Tb927.7.6750	-4.35
Tb927.5.4090	-4.35
Tb927.10.9520	-4.34
Tb927.3.2200	-4.34
Tb09.160.1220	-4.33
Tb927.10.5600	-4.32
Tb09.211.2660	-4.32
Tb927.10.8530	-4.32
Tb11.01.2340	-4.31
Tb09.160.3800	-4.31
Tb927.3.5450	-4.30
Tb927.3.3510	-4.30
Tb927.7.4330	-4.30
Tb927.4.1020	-4.30
Tb927.8.610	-4.30
Tb11.01.1630	-4.30
Tb09.160.2290	-4.30
Tb927.2.2860	-4.30
Tb11.01.8720	-4.29
Tb11.02.4600	-4.29
Tb11.47.0021	-4.29
Tb927.4.2390	-4.29
Tb927.3.4270	-4.29
Tb927.6.3590	-4.29
Tb927.6.2800	-4.28
Tb927.3.5470	-4.28
Tb927.8.930	-4.27
Tb09.211.2310	-4.27
Tb927.10.8660	-4.26
Tb927.8.4000	-4.26
Tb927.8.6590	-4.25
Tb09.160.5030	-4.25
Tb927.4.2780	-4.25
Tb11.02.2630	-4.25
Tb11.02.3670	-4.25
Tb09.211.2850	-4.25
Tb927.6.3130	-4.24
Tb927.4.1450	-4.24
Tb11.01.7000	-4.24
Tb927.1.5100	-4.23
Tb927.4.4020	-4.22
Tb927.8.8180	-4.22
Tb927.8.2340	-4.22
Tb11.02.2780	-4.21
Tb927.10.13700	-4.21
Tb927.8.2990	-4.20
Tb927.5.3930	-4.20
Tb927.5.1280	-4.20
Tb927.8.7020	-4.20
Tb927.6.3950	-4.20
Tb927.3.1960	-4.19
Tb927.10.11270	-4.19
Tb927.8.1970	-4.19
Tb09.v1.0460	-4.19
Tb09.211.2400	-4.18
Tb05.30F7.410	-4.18
Tb927.1.1420	-4.18
Tb927.8.2390	-4.18
Tb11.03.0210	-4.17
Tb09.160.4540	-4.17
Tb11.01.6790	-4.17
Tb927.10.4000	-4.17
Tb927.7.5670	-4.17
Tb927.8.6580	-4.16
Tb927.7.3590	-4.15
Tb927.8.6120	-4.15
Tb927.8.6560	-4.14
Tb11.01.3680	-4.14
Tb927.7.580	-4.14
Tb927.10.12350	-4.14
Tb927.3.950	-4.13
Tb09.160.0350	-4.13
Tb11.03.0160	-4.13
Tb927.10.1880	-4.13
Tb11.02.4960	-4.12
Tb927.5.2760	-4.12
Tb927.5.3260	-4.11
Tb927.4.1880	-4.11
Tb927.8.7580	-4.11
Tb11.02.1020	-4.11
Tb927.3.2840	-4.10
Tb09.160.4920	-4.10
Tb927.2.5180	-4.10
Tb11.01.0250	-4.10
Tb927.7.3890	-4.10
Tb927.10.7580	-4.10
Tb927.7.6640	-4.10
Tb11.01.4025	-4.10
Tb927.8.3400	-4.09
Tb927.10.6220	-4.09
Tb927.7.3610	-4.09
Tb927.7.3300	-4.09
Tb927.6.2200	-4.08
Tb927.7.6480	-4.08
Tb927.8.2660	-4.08
Tb11.02.0560	-4.07
Tb927.6.3540	-4.06
Tb927.3.4800	-4.06
Tb11.01.2840	-4.06
Tb927.2.4050	-4.06
Tb11.01.0720	-4.05
Tb927.3.1890	-4.05
Tb927.8.1040	-4.05
Tb927.8.5830	-4.04
Tb11.01.4570	-4.04
Tb927.10.12480	-4.04
Tb927.10.1360	-4.04
Tb927.10.12450	-4.04
Tb927.8.5080	-4.03
Tb927.7.6600	-4.03
Tb927.2.5200	-4.03
Tb927.10.13980	-4.02
Tb927.6.3410	-4.02
Tb09.211.4880	-4.02
Tb09.160.0790	-4.02
Tb11.03.0330	-4.01
Tb927.7.1810	-4.01
Tb927.6.3930	-4.01
Tb09.160.1070	-4.01
Tb11.01.1350	-4.00
Tb927.10.4580	-4.00
Tb927.5.3790	-4.00
Tb927.3.3410	-3.99
Tb11.01.2770	-3.99
Tb927.10.2760	-3.99
Tb927.7.5560	-3.98
Tb927.6.4320	-3.98
Tb11.02.3160	-3.98
Tb927.10.6600	-3.98
Tb927.3.5290	-3.97
Tb927.3.5510	-3.97
Tb927.10.3720	-3.97
Tb11.02.3440	-3.97
Tb927.4.1760	-3.96
Tb927.10.9460	-3.96
Tb11.01.0690	-3.96
Tb927.7.4440	-3.96
Tb927.3.4410	-3.96
Tb927.1.4720	-3.95
Tb927.1.3300	-3.95
Tb927.7.2970	-3.95
Tb927.4.1560	-3.95
Tb11.01.6230	-3.95
Tb927.7.4050	-3.95
Tb927.10.630	-3.94
Tb927.10.10190	-3.94
Tb11.03.0550	-3.94
Tb11.01.2580	-3.94
Tb927.7.6800	-3.93
Tb11.02.0900	-3.93
Tb09.211.4350	-3.93
Tb11.01.5940	-3.93
Tb927.10.10710	-3.93
Tb927.8.3170	-3.93
Tb927.6.1300	-3.93
Tb09.v2.0030	-3.93
Tb927.8.7820	-3.93
Tb11.02.0950	-3.93
Tb11.01.2270	-3.92
Tb927.8.1730	-3.92
Tb927.10.10030	-3.92
Tb927.4.1390	-3.91
Tb11.02.5060	-3.91
Tb11.01.3400	-3.91
Tb927.5.1850	-3.91
Tb09.211.1190	-3.91
Tb927.6.4190	-3.91
Tb927.1.2420	-3.91
Tb11.03.0190	-3.91
Tb11.01.8100	-3.90
Tb927.1.370	-3.90
Tb927.3.2040	-3.90
Tb927.5.3760	-3.90
Tb927.10.5690	-3.90
Tb927.10.3300	-3.89
Tb927.4.630	-3.89
Tb927.5.3590	-3.89
Tb927.10.5740	-3.89
Tb927.6.4080	-3.88
Tb927.10.11480	-3.87
Tb09.211.0440	-3.87
Tb927.8.4420	-3.86
Tb11.52.0018	-3.86
Tb11.12.0007	-3.86
Tb927.3.2080	-3.86
Tb11.03.0830	-3.85
Tb927.4.3000	-3.85
Tb927.5.1740	-3.85
Tb927.5.1940	-3.85
Tb927.6.2740	-3.84
Tb927.1.1400	-3.84
Tb09.211.5010	-3.84
Tb927.1.4300	-3.84
Tb927.3.5220	-3.84
Tb927.5.2890	-3.83
Tb927.5.2310	-3.83
Tb11.02.0610	-3.83
Tb09.160.5260	-3.83
Tb927.3.2150	-3.83
Tb927.10.1910	-3.82
Tb11.47.0025	-3.82
Tb927.5.1680	-3.82
Tb09.v1.0490	-3.81
Tb927.7.5490	-3.81
Tb11.01.4110	-3.81
Tb927.7.1830	-3.81
Tb927.5.4140	-3.81
Tb927.10.3900	-3.80
Tb11.02.1610	-3.80
Tb927.10.15430	-3.80
Tb927.8.6690	-3.79
Tb927.10.9070	-3.79
Tb09.211.4860	-3.79
Tb927.10.1750	-3.79
Tb11.55.0024	-3.79
Tb09.160.1740	-3.78
Tb927.10.6170	-3.78
Tb927.3.3840	-3.78
Tb927.8.690	-3.77
Tb927.7.7210	-3.77
Tb11.01.1000	-3.77
Tb09.211.1540	-3.77
Tb11.01.6820	-3.77
Tb927.4.120	-3.77
Tb11.01.8040	-3.76
Tb927.4.540	-3.76
Tb09.244.2550	-3.76
Tb927.8.6170	-3.76
Tb11.12.0001	-3.76
Tb11.01.4150	-3.76
Tb927.8.3830	-3.75
Tb11.01.7950	-3.75
Tb927.3.3330	-3.75
Tb927.10.4970	-3.75
Tb927.3.1570	-3.74
Tb09.211.3910	-3.73
Tb927.10.14880	-3.73
Tb11.01.4330	-3.73
Tb927.4.2710	-3.73
Tb927.7.4960	-3.73
Tb927.3.5230	-3.73
Tb927.5.4280	-3.73
Tb927.7.2730	-3.73
Tb927.8.1450	-3.73
Tb11.01.5970	-3.73
Tb927.10.5150	-3.72
Tb11.02.0510	-3.72
Tb927.5.2440	-3.72
Tb927.8.3540	-3.72
Tb927.10.1140	-3.72
Tb927.5.3900	-3.71
Tb11.01.5150	-3.71
Tb927.6.3720	-3.71
Tb927.7.2050	-3.71
Tb09.211.3830	-3.71
Tb927.7.4020	-3.70
Tb927.10.6810	-3.70
Tb927.4.2670	-3.70
Tb09.160.5110	-3.70
Tb927.7.1690	-3.70
Tb927.8.2240	-3.70
Tb11.01.1230	-3.69
Tb927.10.15650	-3.69
Tb927.7.3650	-3.69
Tb927.1.1330	-3.68
Tb927.10.14280	-3.68
Tb11.47.0009	-3.68
Tb927.10.12380	-3.68
Tb09.160.0830	-3.68
Tb09.160.1200	-3.68
Tb927.7.3010	-3.67
Tb927.8.4180	-3.67
Tb927.7.2060	-3.67
Tb11.02.4500	-3.66
Tb927.10.16140	-3.66
Tb11.02.1500	-3.66
Tb927.10.6680	-3.66
Tb927.4.740	-3.65
Tb927.3.3040	-3.65
Tb927.8.6330	-3.65
Tb927.8.5880	-3.65
Tb09.160.5660	-3.64
Tb927.3.5350	-3.64
Tb927.10.13010	-3.64
Tb927.7.3470	-3.64
Tb927.8.2740	-3.64
Tb927.10.11830	-3.64
Tb11.52.0008	-3.63
Tb11.01.0840	-3.63
Tb927.7.1580	-3.63
Tb11.47.0012	-3.63
Tb09.211.2270	-3.62
Tb927.7.2810	-3.62
Tb927.4.1050	-3.62
Tb927.1.4370	-3.62
Tb927.8.2400	-3.62
Tb927.8.1050	-3.62
Tb09.211.4580	-3.62
Tb927.10.15780	-3.62
Tb09.160.4580	-3.61
Tb927.3.850	-3.61
Tb927.8.7180	-3.60
Tb927.1.1580	-3.60
Tb927.10.14000	-3.59
Tb927.10.14260	-3.59
Tb11.02.0630	-3.59
Tb11.12.0004	-3.59
Tb11.03.0290	-3.59
Tb927.4.380	-3.58
Tb927.4.2370	-3.57
Tb927.10.1210	-3.57
Tb09.160.3560	-3.56
Tb09.v1.0470	-3.56
Tb11.01.7790	-3.56
Tb11.01.8750	-3.56
Tb927.8.5760	-3.56
Tb11.02.3780	-3.56
Tb11.01.2790	-3.55
Tb927.8.2770	-3.55
Tb927.10.740	-3.55
Tb927.10.11550	-3.55
Tb927.3.4440	-3.55
Tb09.160.3480	-3.54
Tb927.4.910	-3.54
Tb927.10.10080	-3.54
Tb927.1.480	-3.54
Tb927.8.2180	-3.54
Tb927.4.4120	-3.54
Tb11.01.1820	-3.53
Tb927.10.11960	-3.53
Tb11.01.3800	-3.53
Tb927.8.3070	-3.53
Tb11.01.0550	-3.53
Tb11.02.4610	-3.53
Tb927.10.3020	-3.52
Tb927.10.1340	-3.52
Tb927.10.890	-3.52
Tb927.10.15440	-3.52
Tb11.57.0002	-3.52
Tb927.10.13590	-3.52
Tb927.2.4830	-3.52
Tb11.01.8560	-3.51
Tb927.7.4060	-3.51
Tb927.7.6650	-3.51
Tb927.2.2540	-3.51
Tb927.10.12940	-3.51
Tb927.4.3620	-3.51
Tb11.01.1170	-3.51
Tb11.02.0300	-3.51
Tb927.10.1390	-3.51
Tb927.10.7080	-3.50
Tb927.10.12490	-3.50
Tb927.7.4390	-3.50
Tb927.10.10780	-3.49
Tb09.211.0230	-3.49
Tb927.8.5820	-3.49
Tb927.8.7990	-3.49
Tb927.2.1860	-3.49
Tb927.7.6350	-3.49
Tb927.5.3150	-3.48
Tb927.10.15230	-3.47
Tb927.10.14660	-3.47
Tb927.3.2470	-3.47
Tb927.3.5090	-3.47
Tb927.7.1640	-3.47
Tb927.3.3260	-3.47
Tb927.8.2800	-3.46
Tb927.6.240	-3.46
Tb927.8.5160	-3.46
Tb927.4.340	-3.46
Tb927.8.5380	-3.46
Tb927.5.2690	-3.46
Tb11.01.6630	-3.46
Tb927.6.1940	-3.45
Tb927.2.4870	-3.45
Tb927.4.4580	-3.45
Tb927.10.9380	-3.45
Tb11.01.4940	-3.44
Tb927.10.13220	-3.44
Tb927.8.7610	-3.44
Tb927.5.2180	-3.44
Tb09.142.0360	-3.44
Tb09.160.5130	-3.44
Tb11.01.4400	-3.43
Tb927.6.2990	-3.43
Tb927.5.1890	-3.43
Tb927.10.5120	-3.43
Tb927.7.1530	-3.43
Tb927.7.1930	-3.43
Tb09.211.4390	-3.42
Tb09.160.0380	-3.42
Tb927.7.4520	-3.42
Tb927.1.3030	-3.41
Tb927.4.2100	-3.41
Tb927.8.5850	-3.41
Tb927.3.4950	-3.41
Tb927.10.5880	-3.41
Tb927.3.990	-3.41
Tb927.5.3050	-3.41
Tb927.7.1630	-3.41
Tb09.160.2960	-3.40
Tb927.10.14030	-3.40
Tb927.8.5170	-3.40
Tb927.3.1340	-3.39
Tb927.7.1070	-3.39
Tb927.1.1920	-3.39
Tb927.8.1910	-3.39
Tb927.6.4490	-3.38
Tb927.10.13160	-3.38
Tb927.3.5330	-3.38
Tb11.22.0008	-3.38
Tb927.6.4560	-3.38
Tb927.2.2120	-3.37
Tb927.6.5120	-3.37
Tb09.160.3930	-3.37
Tb927.4.2790	-3.36
Tb11.01.6350	-3.36
Tb927.6.2250	-3.36
Tb927.3.1710	-3.35
Tb09.160.3550	-3.35
Tb927.10.1240	-3.35
Tb927.2.2720	-3.35
Tb927.7.6720	-3.35
Tb927.8.5670	-3.35
Tb11.18.0007	-3.35
Tb927.8.720	-3.35
Tb11.03.0470	-3.34
Tb11.02.5540	-3.34
Tb927.2.5720	-3.34
Tb927.10.6310	-3.34
Tb927.2.5890	-3.34
Tb927.10.11500	-3.34
Tb11.02.2520	-3.34
Tb11.01.4550	-3.34
Tb927.10.160	-3.33
Tb11.01.8390	-3.33
Tb927.10.9330	-3.33
Tb927.10.12190	-3.32
Tb927.10.10770	-3.32
Tb927.10.11860	-3.31
Tb927.4.1770	-3.31
Tb927.10.15020	-3.31
Tb927.7.360	-3.31
